"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","7","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Error from db",""
"passed","Wed Oct 15 23:14:02 GMT 2025","Wed Oct 15 23:14:02 GMT 2025","2","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Success",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","10","","AlbumRepoSuite","","","","[GetAlbum (repo)] Error from db",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","5","","TrackSuite","","","","[GetTrack (service)] Success",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","6","","TrackSuite","","","","[GetTracksByPartName (service)] Success",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","1","","AlbumSuite","","","","[GetAlbum (service)] Success",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","8","","TrackSuite","","","","[GetTracksByPartName (service)] Error from db",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","7","","TrackSuite","","","","[GetTrack (service)] Error from db",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","14","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Success",""
"passed","Wed Oct 15 23:14:02 GMT 2025","Wed Oct 15 23:14:02 GMT 2025","24","","TrackIntegrationSuite","","","","[GetTrack (integration)] Not Found",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","10","","AlbumRepoSuite","","","","[GetAlbum (repo)] Success",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","11","","TrackRepoSuite","","","","[GetTrack (repo)] Error from db",""
"passed","Wed Oct 15 23:14:06 GMT 2025","Wed Oct 15 23:14:06 GMT 2025","3","","E2ESuite","","","","[SearchTrack (e2e)] Success",""
"passed","Wed Oct 15 23:14:02 GMT 2025","Wed Oct 15 23:14:02 GMT 2025","23","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Success",""
"passed","Wed Oct 15 23:14:02 GMT 2025","Wed Oct 15 23:14:02 GMT 2025","26","","TrackIntegrationSuite","","","","[GetTrack (integration)] Success",""
"passed","Wed Oct 15 23:14:02 GMT 2025","Wed Oct 15 23:14:02 GMT 2025","27","","AlbumIntegrationSuite","","","","[GetAlbum (integration)] Not Found",""
"passed","Wed Oct 15 23:14:02 GMT 2025","Wed Oct 15 23:14:02 GMT 2025","15","","AlbumIntegrationSuite","","","","[GetAllTracks (integration)] Not Found",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","0","","AlbumSuite","","","","[GetAllTracks (service)] Success",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","6","","AlbumRepoSuite","","","","[GetAllTracks (repo)] Success",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","14","","TrackRepoSuite","","","","[GetTrack (repo)] Success",""
"passed","Wed Oct 15 23:14:02 GMT 2025","Wed Oct 15 23:14:02 GMT 2025","25","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Not Found",""
"passed","Wed Oct 15 23:14:02 GMT 2025","Wed Oct 15 23:14:02 GMT 2025","22","","TrackIntegrationSuite","","","","[GetTracksByPartName (integration)] Success",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","1","","AlbumSuite","","","","[GetAlbum (service)] Error from repository",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","1","","AlbumSuite","","","","[GetAllTracks (service)] Error from repository",""
"passed","Wed Oct 15 23:13:48 GMT 2025","Wed Oct 15 23:13:48 GMT 2025","13","","TrackRepoSuite","","","","[GetTracksByPartName (repo)] Error from db",""
